,GEOID,FIPS,SERank,EHDRank,MINRank,LWINRank,P_LWINCPCT,P_MINORPCT,index_right,Unnamed: 0,FSID,EPACRKID,PlanID,FacilityName,FacilitySiteStatusTypeID,PlanYearCode,LocationLatitude,LocationLongitude,NAICSCode,CountyCode,StateDistrict,FirstName,LastName,FullName
30,530530731082.0,53053073108.0,7.0,7.0,7,3,21.0,70.0,264,268,13287,WAH000035450,528,OZARK AUTOMOTIVE DISTRIBUTORS,1,2019,47.0843,-122.3369,423120.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
61,530330240001.0,53033024000.0,3.0,6.0,7,2,18.0,68.0,166,168,62283573,WAD009251323,293,Western Pneumatic Tube Co LLC,1,2019,47.632778,-122.199722,33121.0,WA033,NWRO,Robert,Reuter,Robert Reuter
143,530110413283.0,53011041328.0,5.0,4.0,6,3,27.0,53.0,438,483,8987,WAH000049766,3196,IND LLC,1,2019,45.59942,-122.48528,811219.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
143,530110413283.0,53011041328.0,5.0,4.0,6,3,27.0,53.0,275,280,12734887,WAH000002246,565,Wafer Tech LLC,1,2019,45.5999,-122.45101000000001,33441.0,WA011,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
225,530530607005.0,53053060700.0,4.0,7.0,5,9,90.0,44.0,282,287,82428646,WAD079257119,585,University of Puget Sound,1,2019,47.26381,-122.48069,451211.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
234,530610410002.0,53061041000.0,7.0,7.0,4,5,46.0,31.0,64,65,7107802,WAH000032128,105,Everett Clinic The,1,2019,47.965927,-122.209474,621111.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
246,530610510001.0,53061051000.0,5.0,9.0,8,5,41.0,78.0,43,44,1511874,WAH000031020,54,Color Tech Mountlake Terrace,1,2019,47.804122,-122.318076,325510.0,WA061,NWRO,Robert,Reuter,Robert Reuter
248,530330082001.0,53033008200.0,4.0,9.0,8,3,29.0,75.0,525,586,40280,WAH000054588,3432,Nordstrom Inc 001,3,2019,47.6121,-122.33621000000001,452210.0,WA033,NWRO,Amy,Leang,Amy Leang
276,530050111001.0,53005011100.0,7.0,8.0,8,5,49.0,71.0,517,578,81951992,WA0000137661,3418,WA DOT Columbia River Bridge 395 40,1,2019,46.214529999999996,-119.1529,237310.0,WA005,CRO,Thatcher,Montgomery,Thatcher Montgomery
434,530050110012.0,53005011001.0,4.0,8.0,6,3,30.0,57.0,517,578,81951992,WA0000137661,3418,WA DOT Columbia River Bridge 395 40,1,2019,46.214529999999996,-119.1529,237310.0,WA005,CRO,Thatcher,Montgomery,Thatcher Montgomery
